timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730403064953,2002,Login Request,200,OK,Thread Group 1-141,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,1627,0,440
1730403064953,1627,Login Request-0,302,Found,Thread Group 1-141,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,1627,0,440
1730403066585,370,Login Request-1,200,OK,Thread Group 1-141,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,168,0,0
1730403064414,2551,Login Request,200,OK,Thread Group 1-117,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2054,0,955
1730403064418,2549,Login Request,200,OK,Thread Group 1-104,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2139,0,906
1730403064418,2563,Login Request,200,OK,Thread Group 1-48,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,1690,0,772
1730403064414,2054,Login Request-0,302,Found,Thread Group 1-117,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2054,0,955
1730403064418,1962,Login Request-0,302,Found,Thread Group 1-48,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,1690,0,772
1730403064418,2139,Login Request-0,302,Found,Thread Group 1-104,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2139,0,906
1730403066477,488,Login Request-1,200,OK,Thread Group 1-117,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,488,0,0
1730403066558,409,Login Request-1,200,OK,Thread Group 1-104,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,408,0,0
1730403064318,3745,Login Request,200,OK,Thread Group 1-46,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,2575,0,863
1730403064318,2575,Login Request-0,302,Found,Thread Group 1-46,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2575,0,863
1730403066895,1168,Login Request-1,200,OK,Thread Group 1-46,text,true,,500,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1168,0,0
1730403065021,3044,Login Request,200,OK,Thread Group 1-147,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1998,0,305
1730403064304,3761,Login Request,200,OK,Thread Group 1-75,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1959,0,990
1730403065021,1998,Login Request-0,302,Found,Thread Group 1-147,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,1998,0,305
1730403064304,2118,Login Request-0,302,Found,Thread Group 1-75,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,1959,0,990
1730403067020,1045,Login Request-1,200,OK,Thread Group 1-147,text,true,,500,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1045,0,0
1730403066720,1345,Login Request-1,200,OK,Thread Group 1-75,text,true,,500,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1345,0,0
1730403064290,3835,Login Request,200,OK,Thread Group 1-43,text,false,Test failed: text expected to contain /Logout/,1476,641,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,1947,0,891
1730403064290,2134,Login Request-0,302,Found,Thread Group 1-43,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,1947,0,891
1730403066713,1357,Login Request-1,302,Found,Thread Group 1-43,text,true,,318,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1357,0,0
1730403068070,55,Login Request-2,200,OK,Thread Group 1-43,text,true,,783,189,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,55,0,0
1730403064299,3827,Login Request,200,OK,Thread Group 1-31,text,false,Test failed: text expected to contain /Logout/,1476,641,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,1966,0,1012
1730403064299,2125,Login Request-0,302,Found,Thread Group 1-31,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,1966,0,1012
1730403066723,1342,Login Request-1,302,Found,Thread Group 1-31,text,true,,318,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,1342,0,0
1730403068066,60,Login Request-2,200,OK,Thread Group 1-31,text,true,,783,189,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,60,0,0
1730403064297,3831,Login Request,200,OK,Thread Group 1-65,text,false,Test failed: text expected to contain /Logout/,1476,641,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2764,0,1073
1730403064297,2764,Login Request-0,302,Found,Thread Group 1-65,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2764,0,1073
1730403067084,979,Login Request-1,302,Found,Thread Group 1-65,text,true,,318,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,979,0,0
1730403068063,65,Login Request-2,200,OK,Thread Group 1-65,text,true,,783,189,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,65,0,0
1730403066481,500,Login Request-1,200,OK,Thread Group 1-48,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,500,0,0
1730403065239,1744,Login Request,200,OK,Thread Group 1-163,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,1286,0,134
1730403065239,1286,Login Request-0,302,Found,Thread Group 1-163,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,1286,0,134
1730403066526,457,Login Request-1,200,OK,Thread Group 1-163,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,457,0,0
1730403064516,2442,Login Request,200,OK,Thread Group 1-129,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2100,0,830
1730403064339,2619,Login Request,200,OK,Thread Group 1-89,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2021,0,1015
1730403064339,2057,Login Request-0,302,Found,Thread Group 1-89,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2021,0,1015
1730403066519,439,Login Request-1,200,OK,Thread Group 1-89,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,428,0,0
1730403064301,2750,Login Request,200,OK,Thread Group 1-98,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,2164,0,976
1730403064301,2164,Login Request-0,302,Found,Thread Group 1-98,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2164,0,976
1730403066566,485,Login Request-1,200,OK,Thread Group 1-98,text,true,,500,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,320,0,0
1730403064332,2682,Login Request,200,OK,Thread Group 1-64,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2243,0,1049
1730403064332,2243,Login Request-0,302,Found,Thread Group 1-64,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2243,0,1049
1730403066575,439,Login Request-1,200,OK,Thread Group 1-64,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,438,0,0
1730403064439,2614,Login Request,200,OK,Thread Group 1-53,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,2028,0,937
1730403064439,2028,Login Request-0,302,Found,Thread Group 1-53,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2028,0,937
1730403064293,2774,Login Request,200,OK,Thread Group 1-32,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,2228,0,1083
1730403064441,2619,Login Request,200,OK,Thread Group 1-27,text,true,,875,452,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,2216,0,881
1730403064293,2228,Login Request-0,302,Found,Thread Group 1-32,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2228,0,1083
1730403064441,2216,Login Request-0,302,Found,Thread Group 1-27,text,true,,375,264,220,220,http://gryffindor.hogwarts.A49.com/php/login.php,2216,0,881
1730403066553,514,Login Request-1,200,OK,Thread Group 1-32,text,true,,500,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,513,0,0
1730403066656,404,Login Request-1,200,OK,Thread Group 1-27,text,true,,500,188,220,220,http://gryffindor.hogwarts.A49.com/php/home.php,404,0,0
1730403064335,2680,Login Request,200,OK,Thread Group 1-82,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2167,0,1043
1730403064466,2549,Login Request,200,OK,Thread Group 1-74,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2097,0,867
1730403064466,2097,Login Request-0,302,Found,Thread Group 1-74,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2097,0,867
1730403066563,452,Login Request-1,200,OK,Thread Group 1-74,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,341,0,0
1730403064497,2517,Login Request,200,OK,Thread Group 1-127,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2019,0,876
1730403064497,2019,Login Request-0,302,Found,Thread Group 1-127,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2019,0,876
1730403066516,498,Login Request-1,200,OK,Thread Group 1-127,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,427,0,0
1730403064291,2721,Login Request,200,OK,Thread Group 1-20,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2224,0,892
1730403064291,2224,Login Request-0,302,Found,Thread Group 1-20,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2224,0,892
1730403066514,498,Login Request-1,200,OK,Thread Group 1-20,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,430,0,0
1730403064319,2692,Login Request,200,OK,Thread Group 1-3,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2151,0,963
1730403064319,2151,Login Request-0,302,Found,Thread Group 1-3,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2151,0,963
1730403066479,532,Login Request-1,200,OK,Thread Group 1-3,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,466,0,0
1730403065095,1898,Login Request,200,OK,Thread Group 1-155,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,1517,0,81
1730403065095,1517,Login Request-0,302,Found,Thread Group 1-155,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,1517,0,81
1730403066613,380,Login Request-1,200,OK,Thread Group 1-155,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,334,0,0
1730403064469,2530,Login Request,200,OK,Thread Group 1-66,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,1999,0,840
1730403064469,1999,Login Request-0,302,Found,Thread Group 1-66,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,1999,0,840
1730403066476,523,Login Request-1,200,OK,Thread Group 1-66,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,522,0,0
1730403064334,2662,Login Request,200,OK,Thread Group 1-44,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2227,0,1038
1730403064334,2227,Login Request-0,302,Found,Thread Group 1-44,text,true,,375,264,219,219,http://gryffindor.hogwarts.A49.com/php/login.php,2227,0,1038
1730403064342,2646,Login Request,200,OK,Thread Group 1-16,text,true,,875,452,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,2123,0,1029
1730403066561,435,Login Request-1,200,OK,Thread Group 1-44,text,true,,500,188,219,219,http://gryffindor.hogwarts.A49.com/php/home.php,434,0,0
